Date,Magasin,Produit_ID,Stock_disponible
2024-01-01,Magasin_1,Produit_1,62
2024-01-01,Magasin_1,Produit_2,61
2024-01-01,Magasin_1,Produit_3,60
2024-01-01,Magasin_1,Produit_4,45
2024-01-01,Magasin_1,Produit_5,43
2024-01-01,Magasin_1,Produit_6,66
2024-01-01,Magasin_1,Produit_7,56
2024-01-01,Magasin_1,Produit_8,42
2024-01-01,Magasin_1,Produit_9,48
2024-01-01,Magasin_1,Produit_10,50
2024-01-01,Magasin_1,Produit_11,48
2024-01-01,Magasin_1,Produit_12,47
2024-01-01,Magasin_1,Produit_13,62
2024-01-01,Magasin_1,Produit_14,55
2024-01-01,Magasin_1,Produit_15,72
2024-01-01,Magasin_1,Produit_16,62
2024-01-01,Magasin_1,Produit_17,51
2024-01-01,Magasin_1,Produit_18,64
2024-01-01,Magasin_1,Produit_19,53
2024-01-01,Magasin_1,Produit_20,74
2024-01-01,Magasin_2,Produit_1,46
2024-01-01,Magasin_2,Produit_2,54
2024-01-01,Magasin_2,Produit_3,43
2024-01-01,Magasin_2,Produit_4,46
2024-01-01,Magasin_2,Produit_5,46
2024-01-01,Magasin_2,Produit_6,62
2024-01-01,Magasin_2,Produit_7,52
2024-01-01,Magasin_2,Produit_8,25
2024-01-01,Magasin_2,Produit_9,50
2024-01-01,Magasin_2,Produit_10,40
2024-01-01,Magasin_2,Produit_11,45
2024-01-01,Magasin_2,Produit_12,61
2024-01-01,Magasin_2,Produit_13,36
2024-01-01,Magasin_2,Produit_14,37
2024-01-01,Magasin_2,Produit_15,33
2024-01-01,Magasin_2,Produit_16,46
2024-01-01,Magasin_2,Produit_17,33
2024-01-01,Magasin_2,Produit_18,33
2024-01-01,Magasin_2,Produit_19,47
2024-01-01,Magasin_2,Produit_20,53
2024-01-01,Magasin_3,Produit_1,40
2024-01-01,Magasin_3,Produit_2,53
2024-01-01,Magasin_3,Produit_3,51
2024-01-01,Magasin_3,Produit_4,55
2024-01-01,Magasin_3,Produit_5,39
2024-01-01,Magasin_3,Produit_6,69
2024-01-01,Magasin_3,Produit_7,38
2024-01-01,Magasin_3,Produit_8,43
2024-01-01,Magasin_3,Produit_9,55
2024-01-01,Magasin_3,Produit_10,51
2024-01-01,Magasin_3,Produit_11,58
2024-01-01,Magasin_3,Produit_12,46
2024-01-01,Magasin_3,Produit_13,37
2024-01-01,Magasin_3,Produit_14,34
2024-01-01,Magasin_3,Produit_15,67
2024-01-01,Magasin_3,Produit_16,46
2024-01-01,Magasin_3,Produit_17,48
2024-01-01,Magasin_3,Produit_18,68
2024-01-01,Magasin_3,Produit_19,45
2024-01-01,Magasin_3,Produit_20,50
2024-01-01,Magasin_4,Produit_1,39
2024-01-01,Magasin_4,Produit_2,36
2024-01-01,Magasin_4,Produit_3,68
2024-01-01,Magasin_4,Produit_4,69
2024-01-01,Magasin_4,Produit_5,60
2024-01-01,Magasin_4,Produit_6,59
2024-01-01,Magasin_4,Produit_7,57
2024-01-01,Magasin_4,Produit_8,42
2024-01-01,Magasin_4,Produit_9,52
2024-01-01,Magasin_4,Produit_10,44
2024-01-01,Magasin_4,Produit_11,24
2024-01-01,Magasin_4,Produit_12,61
2024-01-01,Magasin_4,Produit_13,55
2024-01-01,Magasin_4,Produit_14,36
2024-01-01,Magasin_4,Produit_15,46
2024-01-01,Magasin_4,Produit_16,60
2024-01-01,Magasin_4,Produit_17,51
2024-01-01,Magasin_4,Produit_18,33
2024-01-01,Magasin_4,Produit_19,37
2024-01-01,Magasin_4,Produit_20,68
2024-01-01,Magasin_5,Produit_1,50
2024-01-01,Magasin_5,Produit_2,60
2024-01-01,Magasin_5,Produit_3,68
